id,name_ja,name_en,image_file_path,category,is_dictionary_visible,series_id,series_ja,series_en,rarity,expansion,hp,phy,int,agi,active_skill_name_ja,active_skill_name_en,active_skill_text_ja,active_skill_text_en,aura_name_ja,aura_text_ja
1019,タートル,Turtle,Image/Extensions/1019.png,legacy,true,19,タートル,Turtle,Common,Legacy,117,20,20,0,キキョウ,Tortoise mirror,自身のPHYを自身のPHYの3 ~ 8%アップ / 自身のINTを自身のINTの3 ~ 8%アップ / 自身のHPを回復係数の10%回復,Increase this hero's PHY by 3 ~ 8% of this hero's PHY. / Increase this hero's INT by 3 ~ 8% of this hero's INT. / Heal this hero for 10% of Healing Coefficient.,,
1020,ルースター,Rooster,Image/Extensions/1020.png,legacy,true,20,ルースター,Rooster,Common,Legacy,0,20,0,59,グンケイ,Shamo,先頭の敵に自身のPHYの20 ~ 25%ダメージ / 自身のAGIを自身のAGIの7%アップ,Deal damage to the first enemy equal to 20 ~ 25% of this hero's PHY. / Increase this hero's AGI by 7% of this hero's AGI.,,
1021,タイガー,Tiger,Image/Extensions/1021.png,legacy,true,21,タイガー,Tiger,Common,Legacy,0,59,0,20,コガ,Tiger Fang,自身のPHYを自身のAGIの15%アップ / 先頭の敵に自身のPHYの35 ~ 40%ダメージ / 自身のPHYを自身のAGIの18%ダウン,Increase this hero's PHY by 15% of this hero's AGI. / Deal damage to the first enemy equal to 35 ~ 40% of this hero's PHY. / Decrease this hero's PHY by 18% of this hero's AGI.,,
1022,ドラゴン,Dragon,Image/Extensions/1022.png,legacy,true,22,ドラゴン,Dragon,Common,Legacy,120,0,39,0,フクリュウ,Hidden Dragon,敵全体に自身のINTの15 ~ 20%ダメージ / 敵全体のINTを自身のINTの6%ダウン,Deal damage to all enemies equal to 15 ~ 20% of this hero's INT. / Decrease the INT of all enemies by 6% of this hero's INT.,,
1023,ブル,Bull,Image/Extensions/1023.png,modern,true,23,ブル,Bull,Common,Modern,117,20,0,20,ギュウキ,Bull Demon,敵全体に自身のPHYの30 ~ 40%ダメージ / 自身のPHYを自身のPHYの9%ダウン,Deal damage to all enemies equal to 30 ~ 40% of this hero's PHY. / Decrease this hero's PHY by 9% of this hero's PHY.,,
1024,エレファント,Elephant,Image/Extensions/1024.png,legacy,true,24,エレファント,Elephant,Common,Legacy,177,20,0,0,ハッショウ,Eight Phenomena,先頭の敵に自身のPHYの15 ~ 20%ダメージ / 味方全体のPHYを自身のPHYの6%アップ,Deal damage to the first enemy equal to 15 ~ 20% of this hero's PHY. / Increase the PHY of all allies by 6% of this hero's PHY.,,
1025,モンキー,Monkey,Image/Extensions/1025.png,legacy,true,25,モンキー,Monkey,Common,Legacy,0,20,59,0,サルヂエ,Monkey's INT,HPが最も低い敵に自身のINTの10 ~ 15%ダメージ / HPが最も低い敵に{successRate}%の確率で睡眠を付与,Deal damage to the enemy with the lowest HP equal to 10 ~ 15% of this hero's INT. / {successRate}% chance to inflict Sleep on the enemy with the lowest HP.,,
1026,スネーク,Snake,Image/Extensions/1026.png,legacy,true,26,スネーク,Snake,Common,Legacy,120,0,0,39,ウワバミ,Uwabami,HPが最も低い味方のPHYを自身のINTの7 ~ 17%アップ / HPが最も低い味方のHPを回復係数の12 ~ 32%回復,Increase the PHY of the ally with the lowest HP by 7 ~ 17% of this hero's INT. / Heal the ally with the lowest HP for 12 ~ 32% of Healing Coefficient.,,
1027,ドッグ,Dog,Image/Extensions/1027.png,legacy,true,27,ドッグ,Dog,Common,Legacy,0,0,40,39,リョウケン,Hound,INTが最も高い敵に自身のINTの30 ~ 40%ダメージ / INTが最も高い敵のINTを自身のINTの6%ダウン,Deal damage to the enemy with the highest INT equal to 30 ~ 40% of this hero's INT. / Decrease the INT of the enemy with the highest INT by 6% of this hero's INT.,,
1028,レイピア,Rapier,Image/Extensions/1028.png,legacy,true,28,レイピア,Rapier,Common,Legacy,0,40,0,39,ファント,fant,先頭の敵に自身のPHYの40 ~ 50%ダメージ / 先頭の敵に自身のPHY減少量の46 ~ 50%ダメージ,Deal damage to the first enemy equal to 40 ~ 50% of this hero's PHY. / Deal damage to the first enemy equal to 46 ~ 50% of this hero's PHY decrease.,,
1029,リボルバー,Revolver,Image/Extensions/1029.png,legacy,true,29,リボルバー,Revolver,Common,Legacy,0,0,40,39,ファニングショット,Fanning Shot,先頭の敵に自身のINTの35 ~ 45%ダメージ / 先頭の敵に対象のINT減少量の7 ~ 9%ダメージ,Deal damage to the first enemy equal to 35 ~ 45% of this hero's INT. / Deal damage to the first enemy equal to 7 ~ 9% of target's INT decrease.,,
1030,ゴブレット,Goblet,Image/Extensions/1030.png,legacy,true,30,ゴブレット,Goblet,Common,Legacy,120,0,39,0,チアーズ！,Cheers!,HPが最も低い味方のHPを回復係数の30 ~ 40%回復 / 味方全体のPHYを対象のPHY減少量の17%アップ / 味方全体のINTを対象のINT減少量の17%アップ,Heal the ally with the lowest HP for 30 ~ 40% of Healing Coefficient. / Increase the PHY of all allies by 17% of target's PHY decrease. / Increase the INT of all allies by 17% of target's INT decrease.,,
1031,ブーツ,Boots,Image/Extensions/1031.png,legacy,true,31,ブーツ,Boots,Common,Legacy,177,0,0,20,ダッシュ,Dash,自身のHPを回復係数の15 ~ 20%回復 / 自身のAGIを自身のAGIの6%アップ,Heal this hero for 15 ~ 20% of Healing Coefficient. / Increase this hero's AGI by 6% of this hero's AGI.,,
1032,センス,Sensu,Image/Extensions/1032.png,legacy,true,32,センス,Sensu,Common,Legacy,60,0,39,20,シラビョウシ,Shirabyouushi,敵全体に自身のINTの15 ~ 20%ダメージ / HPが最も低い味方のHPを回復係数の10%回復,Deal damage to all enemies equal to 15 ~ 20% of this hero's INT. / Heal the ally with the lowest HP for 10% of Healing Coefficient.,,
1033,MCHメダル,MCH Medal,Image/Extensions/1033.png,legacy,true,33,MCHメダル,MCHMedal,Common,Legacy,60,20,20,19,Master Nobの御加護,Master Nob's Protection,自身のHPを回復係数の2%回復 / 自身のPHYを自身のPHYの2%アップ / 自身のINTを自身のINTの2%アップ / 自身のAGIを自身のAGIの2%アップ,Heal this hero for 2% of Healing Coefficient. / Increase this hero's PHY by 2% of this hero's PHY. / Increase this hero's INT by 2% of this hero's INT. / Increase this hero's AGI by 2% of this hero's AGI.,,
1034,ハンマー,Hammer,Image/Extensions/1034.png,legacy,true,34,ハンマー,Hammer,Common,Legacy,120,39,0,0,ストローク,Stroke,先頭の敵に自身のPHYの40 ~ 50%ダメージ / 自身のPHYを自身のPHY増加量の14%アップ,Deal damage to the first enemy equal to 40 ~ 50% of this hero's PHY. / Increase this hero's PHY by 14% of this hero's PHY increase.,,
1035,ボウガン,Bow Gun,Image/Extensions/1035.png,legacy,true,35,ボウガン,Bow Gun,Common,Legacy,60,0,39,20,サイレントシュート,Silent Shooting,先頭の敵に自身のINTの35 ~ 45%ダメージ / 自身のINTを自身のINT増加量の14%アップ,Deal damage to the first enemy equal to 35 ~ 45% of this hero's INT. / Increase this hero's INT by 14% of this hero's INT increase.,,
1036,クラウン,Crown,Image/Extensions/1036.png,legacy,true,36,クラウン,Crown,Common,Legacy,60,0,20,39,マジェスティ,Majesty,HPが最も低い味方のHPを回復係数の30 ~ 40%回復 / 自身のAGIを自身のAGI増加量の14%アップ,Heal the ally with the lowest HP for 30 ~ 40% of Healing Coefficient. / Increase this hero's AGI by 14% of this hero's AGI increase.,,
1037,グンバイ,Gunbai,Image/Extensions/1037.png,legacy,true,37,グンバイ,Gunbai,Common,Legacy,0,40,39,0,グンバイヘイホウ,Gunbai Strategy,先頭の敵に自身のPHYの25 ~ 30%ダメージ / HPが最も低い味方のINTを自身のINTの4%アップ,Deal damage to the first enemy equal to 25 ~ 30% of this hero's PHY. / Increase the INT of the ally with the lowest HP by 4% of this hero's INT.,,
1038,ステアリング,Steering Wheel,Image/Extensions/1038.png,legacy,true,38,ステアリング,Steering Wheel,Common,Legacy,30,40,0,29,ハリケーン,Hurricane,前衛の敵に自身のPHYの20%ダメージ / 中衛の敵に自身のPHYの35%ダメージ / 後衛の敵に自身のPHYの60%ダメージ,Deal damage to the frontline enemy equal to 20% of this hero's PHY. / Deal damage to the midline enemy equal to 35% of this hero's PHY. / Deal damage to the backline enemy equal to 60% of this hero's PHY.,,
1039,ストロベリー,Strawberry,Image/Extensions/1039.png,legacy,true,39,ストロベリー,Strawberry,Common,Legacy,150,0,0,29,イチゴジェラート,Strawberry Gelato,HPが最も低い味方のHPを回復係数の25 ~ 35%回復 / PHYが最も高い味方のAGIを自身のAGIの7%アップ,Heal the ally with the lowest HP for 25 ~ 35% of Healing Coefficient. / Increase the AGI of the ally with the highest PHY by 7% of this hero's AGI.,,
1040,タンジェリン,Tangerine,Image/Extensions/1040.png,legacy,true,40,タンジェリン,Tangerine,Common,Legacy,60,50,0,9,フライングタンジェリン,Flying Tangerine,敵全体のPHYを自身のPHYの6%ダウン / 最後尾の敵に自身のPHYの30%ダメージ,Decrease the PHY of all enemies by 6% of this hero's PHY. / Deal damage to the last enemy equal to 30% of this hero's PHY.,,
1041,ライム,Lime,Image/Extensions/1041.png,legacy,true,41,ライム,Lime,Common,Legacy,87,50,0,0,シトラススプラッシュ,Citrus Splash,先頭の敵に自身のPHYの30 ~ 40%ダメージ / 自身のHPを与えたダメージの15 ~ 35%回復,Deal damage to the first enemy equal to 30 ~ 40% of this hero's PHY. / Heal this hero for 15 ~ 35% of damage dealt.,,
1042,グラファイト,Graphite,Image/Extensions/1042.png,legacy,true,42,グラファイト,Graphite,Common,Legacy,0,50,0,29,電気伝導,Electrical Conduction,HPが最も低い敵に自身のPHYの20 ~ 30%ダメージ / 最後尾の敵に{successRate}%の確率で恐怖を付与,Deal damage to the enemy with the lowest HP equal to 20 ~ 30% of this hero's PHY. / {successRate}% chance to inflict Fear on the last enemy.,,
1043,グレープ,Grape,Image/Extensions/1043.png,legacy,true,43,グレープ,Grape,Common,Legacy,0,29,30,20,ボルドー,Bordeaux,敵全体のAGIを自身のPHYの1 ~ 3%ダウン / 後衛の敵に自身のINTの20 ~ 30%ダメージ,Decrease the AGI of all enemies by 1 ~ 3% of this hero's PHY. / Deal damage to the backline enemy equal to 20 ~ 30% of this hero's INT.,,
1044,セージ,Sage,Image/Extensions/1044.png,legacy,true,44,セージ,Sage,Common,Legacy,0,30,20,29,ハーブティー,Harb Tea,味方全体のAGIを自身のPHYの1 ~ 3%アップ / 最後尾の敵に{successRate}%の確率で睡眠を付与,Increase the AGI of all allies by 1 ~ 3% of this hero's PHY. / {successRate}% chance to inflict Sleep on the last enemy.,,
1045,ブルーベリー,Blueberry,Image/Extensions/1045.png,legacy,true,45,ブルーベリー,Blueberry,Common,Legacy,87,0,40,10,インクベリー,Inkberry,前衛の敵に自身のINTの40%ダメージ / 中衛の敵に自身のINTの30%ダメージ / 後衛の敵に自身のINTの20%ダメージ / INTが最も低い敵に{successRate}%の確率で毒を付与,Deal damage to the frontline enemy equal to 40% of this hero's INT. / Deal damage to the midline enemy equal to 30% of this hero's INT. / Deal damage to the backline enemy equal to 20% of this hero's INT. / {successRate}% chance to inflict Poison on the enemy with the lowest INT.,,
1046,ルビー,Ruby,Image/Extensions/1046.png,legacy,true,46,ルビー,Ruby,Common,Legacy,60,30,0,29,ブリリアントカット,Brilliant Cut,先頭の敵に自身のPHYの15 ~ 20%ダメージ / 自身に{successRate}%の確率でバリアを付与 / 自身のAGIを自身のAGIの7%ダウン,Deal damage to the first enemy equal to 15 ~ 20% of this hero's PHY. / {successRate}% chance to inflict Barrier on this hero. / Decrease this hero's AGI by 7% of this hero's AGI.,,
1047,シップ,Ship,Image/Extensions/1047.png,legacy,true,47,シップ,Ship,Common,Legacy,27,30,30,10,カノン砲,Cannon,AGIが最も高い敵に自身のINTの0 ~ 30%ダメージ / AGIが最も高い敵に自身のPHYの0 ~ 30%ダメージ,Deal damage to the enemy with the highest AGI equal to 0 ~ 30% of this hero's INT. / Deal damage to the enemy with the highest AGI equal to 0 ~ 30% of this hero's PHY.,CEボーナス 6%,クエスト時、このヒーローの獲得CEが6%アップ
1048,ナイフ,Knife,Image/Extensions/1048.png,legacy,true,48,ナイフ,Knife,Common,Legacy,0,27,0,52,リッパー,Ripper,AGIが最も高い敵に自身のPHYの40 ~ 50%ダメージ / AGIが最も高い敵に{successRate}%の確率で恐怖を付与,Deal damage to the enemy with the highest AGI equal to 40 ~ 50% of this hero's PHY. / {successRate}% chance to inflict Fear on the enemy with the highest AGI.,,
1049,アルケブス,Arquebus,Image/Extensions/1049.png,legacy,true,49,アルケブス,Arquebus,Common,Legacy,81,0,52,0,狙撃兵,Marksman,AGIが最も高い敵に自身のINTの35 ~ 45%ダメージ / AGIが最も高い敵に{successRate}%の確率で混乱を付与,Deal damage to the enemy with the highest AGI equal to 35 ~ 45% of this hero's INT. / {successRate}% chance to inflict Confusion on the enemy with the highest AGI.,,
1050,リソグラフィー,Lithography,Image/Extensions/1050.png,legacy,true,50,リソグラフィ,Lithography,Common,Legacy,0,0,52,27,アポカリプス,Apocalypse,先頭の味方のHPを回復係数の10 ~ 20%回復 / 自身のHPを回復係数の10 ~ 20%回復,Heal the first ally for 10 ~ 20% of Healing Coefficient. / Heal this hero for 10 ~ 20% of Healing Coefficient.,,
1051,ウィップ,Whip,Image/Extensions/1051.png,legacy,true,51,ウィップ,Whip,Common,Legacy,0,39,20,20,ラッシング,Lashing,「PHYが最も低い敵に自身のPHYの13 ~ 28%ダメージ」を2回繰り返す,[2 times]Deal damage to the enemy with the lowest PHY equal to 13 ~ 28% of this hero's PHY.,,
1055,とっておきのアイスクリーム,Special Ice Cream,Image/Extensions/1055.png,legacy,true,55,スイーツ,Sweets,Common,Legacy,99,0,46,0,アイスクリームの恨みを受けよ！,Resentment of Ice Cream,HPが最も高い敵に自身のINTの10 ~ 20%ダメージ / HPが最も高い敵に対象のPHY/INT/AGI増加量合計の5 ~ 25%ダメージ,Deal damage to the enemy with the highest HP equal to 10 ~ 20% of this hero's INT. / Deal damage to the enemy with the highest HP equal to 5 ~ 25% of the total PHY/INT/AGI increase of target.,,
1056,シックル,Sickle,Image/Extensions/1056.png,legacy,true,56,シックル,Sickle,Common,Legacy,33,45,0,23,ハーベスト,Harvest,PHYが最も低い敵に自身のPHYの45 ~ 55%ダメージ / PHYが最も低い敵のINTを自身のPHYの4%ダウン,Deal damage to the enemy with the lowest PHY equal to 45 ~ 55% of this hero's PHY. / Decrease the INT of the enemy with the lowest PHY by 4% of this hero's PHY.,,
1057,ワンド,Wand,Image/Extensions/1057.png,legacy,true,57,ワンド,Wand,Common,Legacy,48,0,56,7,スイング,Swing,PHYが最も低い敵に自身のINTの35 ~ 45%ダメージ / PHYが最も低い敵に自身のINT減少量の46 ~ 50%ダメージ,Deal damage to the enemy with the lowest PHY equal to 35 ~ 45% of this hero's INT. / Deal damage to the enemy with the lowest PHY equal to 46 ~ 50% of this hero's INT decrease.,,
1058,サケ,Sake,Image/Extensions/1058.png,legacy,true,58,サケ,Sake,Common,Legacy,81,13,32,7,ヒャクヤク,Hyakuyaku,HPが最も低い味方のHPを回復係数の30 ~ 40%回復 / 敵全体のPHYを対象のPHY増加量の20%ダウン / 敵全体のAGIを対象のAGI増加量の20%ダウン,Heal the ally with the lowest HP for 30 ~ 40% of Healing Coefficient. / Decrease the PHY of all enemies by 20% of target's PHY increase. / Decrease the AGI of all enemies by 20% of target's AGI increase.,,
1059,ハット,Hat,Image/Extensions/1059.png,legacy,true,59,ハット,Hat,Common,Legacy,153,0,28,0,エレガンス,Elegance,自身のINTを自身のINTの5 ~ 10%アップ,Increase this hero's INT by 5 ~ 10% of this hero's INT.,,
1060,ヒョウタンツギ,Patch gourd,Image/Extensions/1060.png,legacy,true,60,手塚オールスター,Tezuka All-star,Common,Legacy,57,40,10,10,新種のキノコ,New Mushroom Species,前衛の敵に自身のPHYの45%ダメージ / 中衛の敵に自身のPHYの35%ダメージ / 後衛の敵に自身のPHYの20%ダメージ / HPが最も低い敵に{successRate}%の確率で出血を付与,Deal damage to the frontline enemy equal to 45% of this hero's PHY. / Deal damage to the midline enemy equal to 35% of this hero's PHY. / Deal damage to the backline enemy equal to 20% of this hero's PHY. / {successRate}% chance to inflict Bleed on the enemy with the lowest HP.,,
1061,マント,Mantle,Image/Extensions/1061.png,legacy,true,61,マント,Mantle,Common,Legacy,0,40,0,39,フェーバー,Fervour,HPが最も低い味方のHPをPHY回復係数の30 ~ 40%回復,Heal the ally with the lowest HP for 30 ~ 40% of PHY Healing Coefficient.,,
1063,ピエロ,Pierrot,Image/Extensions/1063.png,legacy,true,63,ピエロ,Pierrot,Common,Legacy,0,33,32,14,ジャグリング,Juggling,PHYが最も高い味方のPHYを自身のPHYの5%アップ / INTが最も高い味方のINTを自身のINTの5%アップ / 中衛の敵に{successRate}%の確率で気絶を付与,Increase the PHY of the ally with the highest PHY by 5% of this hero's PHY. / Increase the INT of the ally with the highest INT by 5% of this hero's INT. / {successRate}% chance to inflict Stun on the midline enemy.,,
1064,フルート,Flute,Image/Extensions/1064.png,legacy,true,64,フルート,Flute,Common,Legacy,138,0,0,33,フラジオレット,Flageolet,味方全体のHPを自身の最大HPの6 ~ 9%回復 / 先頭の味方の混乱を{successRate}%の確率で解除 / 先頭の味方の恐怖を{successRate}%の確率で解除 / 最後尾の味方の混乱を{successRate}%の確率で解除 / 最後尾の味方の恐怖を{successRate}%の確率で解除,Heal all allies for 6 ~ 9% of this hero's Max HP. / {successRate}% chance to remove Confusion from the first ally. / {successRate}% chance to remove Fear from the first ally. / {successRate}% chance to remove Confusion from the last ally. / {successRate}% chance to remove Fear from the last ally.,,
1065,ハープ,Harp,Image/Extensions/1065.png,legacy,true,65,ハープ,Harp,Common,Legacy,21,0,56,16,オクターブ,Octave,最後尾の敵に自身のINTの35 ~ 45%ダメージ / 最後尾の敵に{successRate}%の確率で睡眠を付与,Deal damage to the last enemy equal to 35 ~ 45% of this hero's INT. / {successRate}% chance to inflict Sleep on the last enemy.,,
1066,マラカス,Maracas,Image/Extensions/1066.png,legacy,true,66,マラカス,Maracas,Common,Legacy,69,43,0,13,マンボ,Mambo,味方全体のPHYを対象のPHY減少量の22%アップ / 味方全体のINTを対象のINT減少量の12%アップ / 最後尾の敵に自身のPHYの40 ~ 50%ダメージ,Increase the PHY of all allies by 22% of target's PHY decrease. / Increase the INT of all allies by 12% of target's INT decrease. / Deal damage to the last enemy equal to 40 ~ 50% of this hero's PHY.,,
1067,ホルン,Horn,Image/Extensions/1067.png,legacy,true,67,ホルン,Horn,Common,Legacy,114,0,0,41,ゲシュトップフト,Gestopft,最大HPが最も高い味方に{successRate}%の確率でバリアを付与 / 敵全体のAGIを対象のAGI増加量の20%ダウン / 味方全体のAGIを対象のAGI減少量の24%アップ,{successRate}% chance to inflict Barrier on the ally with the highest Max HP. / Decrease the AGI of all enemies by 20% of target's AGI increase. / Increase the AGI of all allies by 24% of target's AGI decrease.,,
1068,クラヴィア,Clavia,Image/Extensions/1068.png,legacy,true,68,クラヴィア,Clavia,Common,Legacy,42,53,0,12,三重奏,Clavier Trio,自身のPHYを自身のPHYの12%ダウン / HPが最も低い敵に自身のPHY減少量の45 ~ 55%ダメージ,Decrease this hero's PHY by 12% of this hero's PHY. / Deal damage to the enemy with the lowest HP equal to 45 ~ 55% of this hero's PHY decrease.,,
1069,ヴァイオリン,Violin,Image/Extensions/1069.png,legacy,true,69,ヴァイオリン,Violin,Common,Legacy,90,0,20,29,メヌエット,Minuet,HPが最も低い味方のHPを回復係数の25 ~ 35%回復 / INTが最も高い味方のAGIを自身のAGIの7%アップ,Heal the ally with the lowest HP for 25 ~ 35% of Healing Coefficient. / Increase the AGI of the ally with the highest INT by 7% of this hero's AGI.,,
1070,ニコ,Erhu,Image/Extensions/1070.png,legacy,true,70,ニコ,Erhu,Common,Legacy,63,0,51,7,洛陽,Luoyang,INTが最も低い味方のINTを対象のINT減少量の30%アップ / 最大HPが最も高い敵に自身のINTの40 ~ 50%ダメージ / INTが最も低い敵のINTを対象のINT減少量の30%アップ,Increase the INT of the ally with the lowest INT by 30% of target's INT decrease. / Deal damage to the enemy with the highest Max HP equal to 40 ~ 50% of this hero's INT. / Increase the INT of the enemy with the lowest INT by 30% of target's INT decrease.,,
1071,ドラム,Drum,Image/Extensions/1071.png,legacy,true,71,ドラム,Drum,Common,Legacy,51,39,0,23,8ビート,8 Beat,「HPが最も低い味方のHPをPHY回復係数の12%回復」を3回繰り返す / HPが最も低い味方のINTを自身のPHYの4%アップ,[3 times]Heal the ally with the lowest HP for 12% of PHY Healing Coefficient. / Increase the INT of the ally with the lowest HP by 4% of this hero's PHY.,,
1072,シタール,Sitar,Image/Extensions/1072.png,legacy,true,72,シタール,Sitar,Common,Legacy,30,49,0,20,ミズラーブ,Mizrab,先頭の敵に自身のPHYの45%ダメージ / 中衛の敵に自身のPHYの60%ダメージ / 最後尾の敵に{successRate}%の確率で恐怖を付与,Deal damage to the first enemy equal to 45% of this hero's PHY. / Deal damage to the midline enemy equal to 60% of this hero's PHY. / {successRate}% chance to inflict Fear on the last enemy.,,
1073,マレット,Mallet,Image/Extensions/1073.png,legacy,true,73,マレット,Mallet,Common,Legacy,0,47,0,32,ショック,Shock,INTが最も低い敵に自身のPHYの35 ~ 50%ダメージ、対象が睡眠なら85 ~ 100%ダメージ,Deal damage to the enemy with the lowest INT equal to 35 ~ 50% of this hero's PHY. 85 ~ 100% if affected by Sleep.,,
1074,ハンドカノン,Hand cannon,Image/Extensions/1074.png,legacy,true,74,ハンドカノン,Hand cannon,Common,Legacy,0,0,47,32,火槍術・舞破,Cannon Jitsu:Buppa,PHYが最も低い敵に自身のINTの35 ~ 45%ダメージ / 最大HPが最も高い敵に{successRate}%の確率で出血を付与,Deal damage to the enemy with the lowest PHY equal to 35 ~ 45% of this hero's INT. / {successRate}% chance to inflict Bleed on the enemy with the highest Max HP.,,
